date,holiday
1/1/2016,New Year's Day
1/18/2016,"Birthday of Martin Luther King, Jr."
2/15/2016,Washington's Birthday
5/30/2016,Memorial Day
7/4/2016,Independence Day
9/5/2016,Labor Day
10/10/2016,Columbus Day
11/11/2016,Veterans Day
11/24/2016,Thanksgiving Day
12/26/2016,Christmas Day
1/2/2017,New Year's Day
1/16/2017,"Birthday of Martin Luther King, Jr."
2/20/2017,Washington's Birthday
5/29/2017,Memorial Day
7/4/2017,Independence Day
9/4/2017,Labor Day
10/9/2017,Columbus Day
11/10/2017,Veterans Day
11/23/2017,Thanksgiving Day
12/25/2017,Christmas Day
1/1/2018,New Year's Day
1/15/2018,"Birthday of Martin Luther King, Jr."
2/19/2018,Washington's Birthday
5/28/2018,Memorial Day
7/4/2018,Independence Day
9/3/2018,Labor Day
10/8/2018,Columbus Day
11/12/2018,Veterans Day
11/22/2018,Thanksgiving Day
12/25/2018,Christmas Day
